"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LHFPL6",305.024708450577,-1.9700438763871,0.197767039333215,-9.96143686546168,2.2479007473075e-23,5.97273905492515e-21
"ROBO4",303.829549027856,-2.56648374517162,0.25809329065444,-9.94401574199721,2.67808279028428e-23,7.04598330981069e-21
"ADAMTS1",1280.34916804268,-2.94494296589099,0.296845665932327,-9.92078815313531,3.38075922425863e-23,8.80835480992279e-21
"ABCA10",265.476514834724,-2.97594916983291,0.300366679353484,-9.90772071069406,3.85336485013987e-23,9.94316337676478e-21
"ADAMTS9",649.867918401965,-2.72304100995245,0.27503929108278,-9.90055275096268,4.13980582674557e-23,1.05805551587185e-20
"PLSCR4",203.222126447871,-1.90528439268559,0.192492195944653,-9.89798253033288,4.24756882089034e-23,1.07535619695673e-20
"GIPC2",24.1996105328624,-3.10654577009769,0.314112627213357,-9.88991050012008,4.60439366257171e-23,1.1469056637769e-20
"THSD1",53.1510793932305,-1.68881555461421,0.170765683708462,-9.88966587395522,4.61565850677839e-23,1.1469056637769e-20
"SOX17",133.44488052925,-3.36945810003774,0.341197205894945,-9.87539769324841,5.32214233302106e-23,1.31032120778856e-20
"JAM2",155.684898563545,-2.46259098913022,0.249427667858927,-9.87296642056176,5.45277231566318e-23,1.33027816239216e-20
"CCM2L",51.2634250551221,-2.57164769122664,0.260757968165439,-9.86220175482825,6.07034220933847e-23,1.46760093270096e-20
"DIPK2B",268.181076188062,-2.51648187218155,0.25559213750366,-9.84569359902751,7.15440259710051e-23,1.71424596514098e-20
"GGTA1P",50.0876104116821,-2.65372326330712,0.269780724121462,-9.83659329979539,7.83179559276407e-23,1.85994749139307e-20
"CFD",850.50774723712,-3.92185920314073,0.399067801114962,-9.82755108826967,8.56768044263576e-23,2.0168620382331e-20
"TRPM3",9.68888061755091,-3.3857760261573,0.344763496256702,-9.82057573646469,9.18176412589851e-23,2.1426245398488e-20
"ANO2",63.3799600752023,-2.47619554416006,0.252403767024257,-9.81045399343065,1.01510820028085e-22,2.34840031575319e-20
"SCARA5",164.835152660055,-4.83701196200499,0.493961033433973,-9.79229460343969,1.21506578680431e-22,2.78696627817782e-20
"GRK5",115.909105339407,-1.76647935678887,0.180643059911842,-9.77883876441728,1.38793769843212e-22,3.15649966738342e-20
"NUP210",538.214001855671,2.11029336104013,0.215915176161252,9.77371483820155,1.45998415114035e-22,3.29244829243718e-20
"PREX2",379.681551354501,-2.61765159519567,0.268052132100255,-9.76545709480364,1.58396106824449e-22,3.54226493561743e-20
"DUSP6",345.369280453821,-1.65269257456158,0.169524721853857,-9.7489767656798,1.86336902013179e-22,4.1326752912609e-20
"MEDAG",104.97937348652,-3.21423183310768,0.329732873344747,-9.74798721311324,1.88161840894979e-22,4.13894357562102e-20
"TRPC6",49.3031493545979,-1.6653721097263,0.171075928038901,-9.73469575069389,2.14458492575817e-22,4.67903098110945e-20
"PHYHIP",23.9794952987856,-3.49443777061161,0.359125493816256,-9.73040853624141,2.23692738659125e-22,4.84114381827119e-20
"C11orf96",295.087799172098,-2.73141097837571,0.281219672430733,-9.71273081561704,2.66110174432667e-22,5.71306611286004e-20
"MYOM1",85.2467397237518,-2.87377859467539,0.295967259663155,-9.70978546054749,2.73913042695461e-22,5.83391302680586e-20
"SIK2",703.057058101882,-2.23995677159314,0.230946898677572,-9.69901212971203,3.0443181199603e-22,6.43285992655547e-20
"ERCC6L",17.6977878305441,3.3158458281988,0.34232715913079,9.686189774186,3.45165921516877e-22,7.19280447106799e-20
"SOCS3",1248.75839149176,-2.82670412036605,0.29183354332057,-9.68601514480808,3.45756363380448e-22,7.19280447106799e-20
"FHL1",1658.99942077316,-4.04894526864373,0.41810166970385,-9.68411647700829,3.52240846695854e-22,7.27133489379225e-20
"EEPD1",157.977228886056,-1.84159945265421,0.190400687527879,-9.67223110675244,3.95656725623843e-22,8.10522434262706e-20
"ACACB",2228.7639129758,-3.34765127809865,0.346574954024203,-9.65924178659738,4.49176020603809e-22,9.13188461282108e-20
"SMC4",437.296616585904,1.6264471745768,0.168503577334476,9.65230056420904,4.80651227538434e-22,9.66244321868898e-20
"DMRT2",14.3737148731817,-3.63492625195998,0.376601659085436,-9.65191247640085,4.82474061448921e-22,9.66244321868898e-20
"VWF",3261.75230782684,-2.82702463300975,0.29334545708098,-9.63718566205486,5.56939383571671e-22,1.10711298500217e-19
"ATOH8",185.536705891382,-3.94224038107758,0.410106144329506,-9.61273181488871,7.06492258157487e-22,1.39407545881723e-19
"TRPM6",26.6453490742859,-3.11633623271745,0.324284889773175,-9.60987184724273,7.26393370174393e-22,1.42288266291971e-19
"FAM162B",8.75515169096187,-2.5133277527222,0.261569140773163,-9.60865546024714,7.3502481779165e-22,1.42935695726498e-19
"HIST1H2BC",280.573570380023,1.62183054370079,0.168853976570317,9.60492951746031,7.62100537133634e-22,1.46550649792296e-19
"TAL1",64.333525471089,-2.51107681040794,0.261445203455747,-9.6046008005382,7.64536107129281e-22,1.46550649792296e-19
